Time: 13118
Volumen ocupado = 5.10173e+06
243	227	139
Id	Piece	in	x	y	z	qw	qx	qy	qz
0	0	1	0	129.74	0	0.707107	0.707107	0	0
1	0	1	215	169.74	0	0.5	0.5	0.5	0.5
2	1	1	200	218.019	121.995	0.5	-0.5	-0.5	0.5
3	1	1	200	219.74	101.25	0.5	-0.5	-0.5	0.5
4	2	1	80	102.5	0	1	0	0	0
5	2	1	0	129.74	0	1	0	0	0
6	2	1	160	90	0	1	0	0	0
7	2	1	160	0	0	1	0	0	0
8	2	1	4.14607	0	38.764	1	0	0	0
9	3	1	160	100	50	4.32978e-17	-0.707107	4.32978e-17	0.707107
10	3	1	160	0	89	-0.707107	-0	0.707107	-0
11	3	1	129.79	100	89	0.5	-0.5	-0.5	-0.5
12	3	1	20	100	89	0.5	-0.5	-0.5	-0.5
13	4	1	20	59.7401	0	1	0	0	0
14	4	1	20	34	0	1	0	0	0
15	4	1	20	10	0	1	0	0	0
16	4	1	144.146	10	50	1	0	0	0
17	4	1	55.5556	22.8889	0	1	0	0	0
18	5	1	5	92.7401	0	0.5	0.5	0.5	0.5
19	5	1	30	90.5	0	0.5	0.5	0.5	0.5
20	5	1	215	78.5	0	0.5	0.5	0.5	0.5
21	5	1	55	100	0	0.5	0.5	0.5	0.5
22	5	1	88.6957	192.5	0	0.5	0.5	0.5	0.5
