Time: 0
Volumen ocupado = 8.7347
243	227	220
Id	Piece	in	x	y	z	qw	qx	qy	qz
0	0	1	0	0	220	0.707107	0	0.707107	0
1	0	1	0	100	220	0.707107	0	0.707107	0
2	0	1	239	100	220	-4.37114e-08	-0	1	-0
3	0	1	178	0	170	-0.707107	-0	0.707107	-0
4	0	1	178	100	170	-0.707107	-0	0.707107	-0
5	1	1	41	223.584	0	0.707107	0	0	0.707107
6	1	1	2.27299e-06	184.795	52	-4.37114e-08	-0	1	-0
7	1	1	82	183.035	78	1.91069e-15	-1	-4.37114e-08	-4.37114e-08
8	1	1	82	181	104	1.91069e-15	-1	-4.37114e-08	-4.37114e-08
9	2	1	189	0	131	1	0	0	0
10	2	1	89	126.236	170	0.707107	0	0.707107	0
11	2	1	89	0	120	-0.707107	-0	0.707107	-0
12	2	1	89	126.236	120	-0.707107	-0	0.707107	-0
13	2	1	178	0	120	-0.707107	-0	0.707107	-0
14	3	1	89	200	195	0.707107	0	0	0.707107
15	3	1	89	215	195	0.707107	0	0	0.707107
16	3	1	215	200	195	0.707107	0	0	0.707107
17	3	1	218	215	195	0.707107	0	0	0.707107
18	3	1	89	214	170	0.707107	0	0	0.707107
19	4	1	110	0	0	0.707107	0	0	0.707107
20	4	1	110	70	0	0.707107	0	0	0.707107
21	4	1	220	0	0	0.707107	0	0	0.707107
22	4	1	220	70	0	0.707107	0	0	0.707107
23	4	1	240.616	140	0	0.707107	0	0	0.707107
